id_transaksi,id_pelanggan,id_produk,id_perusahaan,jumlah,total_harga,metode_pembayaran,tanggal_transaksi,status_transaksi
41,1282,226,9,2,125564,Kartu Kredit,2023-07-09 08:34:44,Selesai
42,654,261,42,8,212848,E-Wallet,2023-03-05 08:29:23,Selesai
43,135,222,27,5,109810,Tunai,2023-12-26 08:22:39,Batal
44,702,276,10,3,87576,Kartu Kredit,2023-10-30 10:51:56,Selesai
45,1563,119,31,4,38436,Debit,2023-07-14 20:55:31,Batal
46,656,272,25,8,175776,Tunai,2023-09-23 22:17:53,Batal
47,1900,108,29,10,364810,Kartu Kredit,2023-05-06 17:42:45,Selesai
48,394,203,44,3,19542,Kartu Kredit,2023-08-25 22:45:38,Diproses
49,322,167,44,9,347616,E-Wallet,2023-09-11 18:58:26,Diproses
50,1616,214,38,5,125575,Kartu Kredit,2023-12-29 06:43:55,Batal
51,967,156,50,6,170136,Kartu Kredit,2023-04-29 22:17:33,Batal
52,1489,182,44,6,209910,E-Wallet,2023-04-30 14:55:31,Batal
53,1154,202,29,7,608937,Tunai,2023-10-24 00:25:51,Batal
54,114,210,43,6,68022,Kartu Kredit,2023-06-27 10:31:14,Batal
55,40,104,12,4,167736,Debit,2023-04-25 11:42:22,Batal
56,49,165,27,7,365778,E-Wallet,2023-05-07 11:36:19,Diproses
57,1147,103,40,4,22868,Transfer Bank,2023-07-15 07:46:20,Batal
58,1754,141,38,2,78144,Tunai,2023-04-05 10:12:31,Selesai
59,667,246,32,10,216270,E-Wallet,2023-01-18 20:45:02,Diproses
60,799,250,41,4,31516,Debit,2023-08-24 14:53:56,Diproses
61,769,31,46,2,143750,Tunai,2023-09-06 09:46:16,Batal
62,566,276,10,6,175152,E-Wallet,2023-12-25 16:37:57,Batal
63,228,242,19,3,77424,Tunai,2023-05-07 00:59:00,Diproses
64,848,78,20,3,78441,Transfer Bank,2023-04-27 01:32:10,Diproses
65,410,288,31,2,43916,E-Wallet,2023-04-06 05:40:41,Batal
66,1173,280,33,5,213170,Transfer Bank,2023-07-26 05:32:05,Batal
67,1413,12,31,3,111219,Tunai,2023-12-05 03:44:53,Diproses
68,1457,161,27,6,141708,E-Wallet,2023-10-18 05:05:27,Selesai
69,378,165,27,8,418032,Kartu Kredit,2023-06-28 23:00:06,Batal
70,683,102,18,5,387715,Debit,2023-08-23 10:07:01,Diproses
71,1911,12,31,3,111219,Tunai,2023-09-07 10:06:46,Batal
72,876,203,44,8,52112,Tunai,2023-11-19 23:46:03,Diproses
73,124,263,41,6,118710,Tunai,2023-08-08 16:50:31,Batal
74,66,259,5,6,143514,Transfer Bank,2023-07-11 01:51:38,Batal
75,1178,171,2,2,49808,Tunai,2023-08-08 13:02:28,Selesai
76,1996,286,27,2,194526,Transfer Bank,2023-03-03 10:45:13,Diproses
77,1734,45,15,10,458620,E-Wallet,2023-08-25 21:54:19,Diproses
78,391,38,24,7,71764,Debit,2023-06-30 20:46:47,Batal
79,1822,78,20,6,156882,Tunai,2023-03-12 13:19:21,Diproses
80,1179,174,40,8,438320,Transfer Bank,2023-10-31 08:30:00,Diproses
81,1515,222,27,1,21962,E-Wallet,2023-08-12 04:56:41,Batal
82,14,200,10,1,85032,Tunai,2023-03-29 11:17:42,Batal
83,875,78,20,5,130735,Kartu Kredit,2023-08-15 22:47:00,Diproses
84,1573,168,46,9,590139,E-Wallet,2023-09-11 20:06:42,Diproses
85,411,295,2,6,274086,Transfer Bank,2023-03-01 06:22:46,Selesai
86,1584,76,27,4,348424,Debit,2023-03-12 12:30:39,Selesai
87,54,274,44,10,113000,Tunai,2023-10-30 17:07:25,Selesai
88,1107,179,20,2,71200,Debit,2023-12-05 02:10:13,Batal
89,1902,118,32,4,246664,Kartu Kredit,2023-04-28 15:30:27,Selesai
90,869,139,18,4,314720,Kartu Kredit,2023-10-27 22:46:49,Batal
91,56,71,16,8,230416,Tunai,2023-11-20 22:54:32,Batal
92,53,228,49,4,388624,E-Wallet,2023-01-20 02:42:37,Batal
93,899,205,42,4,58208,Kartu Kredit,2023-10-27 10:05:21,Batal
94,1209,64,37,2,49662,Kartu Kredit,2023-07-16 18:49:02,Diproses
95,1484,265,4,2,13836,Kartu Kredit,2023-10-21 20:04:56,Selesai
96,247,251,21,10,349610,Debit,2023-10-19 03:32:53,Batal
97,851,98,1,4,52664,Tunai,2023-11-07 14:35:39,Diproses
98,737,245,9,5,66015,Transfer Bank,2023-02-13 11:50:39,Batal
99,34,4,35,7,121030,E-Wallet,2023-06-05 11:08:39,Selesai
100,727,185,42,5,123575,Tunai,2023-06-18 14:33:39,Diproses
101,616,118,32,2,123332,E-Wallet,2023-12-07 04:22:10,Batal
102,33,141,38,6,234432,Tunai,2023-02-24 15:45:10,Selesai
103,364,290,34,1,83520,Kartu Kredit,2023-07-21 09:54:27,Selesai
104,288,241,18,1,41066,Tunai,2023-08-20 13:01:42,Selesai
105,1775,151,36,6,181338,Transfer Bank,2023-06-11 02:55:40,Selesai
106,859,89,13,3,94407,Transfer Bank,2023-02-28 18:58:06,Diproses
107,1658,93,38,6,116370,Tunai,2023-11-02 11:14:26,Selesai
108,62,255,5,4,231016,Debit,2023-06-06 18:19:50,Diproses
109,765,136,29,10,900480,Debit,2023-01-12 01:26:09,Selesai
110,680,15,36,8,216728,Tunai,2023-10-13 10:14:17,Selesai
111,1872,209,9,1,24963,Transfer Bank,2023-05-27 10:14:14,Diproses
112,1480,269,10,3,39315,Kartu Kredit,2023-02-08 21:08:30,Selesai
113,715,115,19,2,18972,E-Wallet,2023-01-26 18:12:02,Selesai
114,1984,244,1,8,229064,E-Wallet,2023-11-29 11:48:25,Diproses
115,902,69,40,10,349170,Tunai,2023-05-01 22:44:46,Batal
116,962,132,15,3,76998,Debit,2023-09-12 21:51:05,Diproses
117,749,50,8,8,263400,E-Wallet,2023-10-18 18:33:57,Diproses
118,402,65,10,4,320232,Transfer Bank,2023-02-20 09:53:40,Selesai
119,462,43,7,2,174546,E-Wallet,2023-04-20 15:13:28,Diproses
120,216,128,1,4,122724,Debit,2023-03-13 16:50:45,Diproses
121,1351,155,13,6,526572,E-Wallet,2023-09-17 13:31:58,Diproses
122,1065,265,4,10,69180,Debit,2023-10-23 02:43:18,Selesai
123,672,217,32,6,545604,Kartu Kredit,2023-08-14 00:06:22,Diproses
124,1915,18,11,7,606347,Tunai,2023-11-05 10:25:57,Selesai
125,374,8,7,3,81357,Tunai,2023-11-21 10:17:50,Selesai
126,332,204,13,6,76500,Tunai,2023-08-11 04:14:05,Batal
127,991,177,35,4,199024,Transfer Bank,2023-06-07 12:59:45,Batal
128,440,233,45,10,262370,Debit,2023-07-31 23:57:54,Batal
129,242,144,43,9,458406,Debit,2023-05-11 23:26:26,Selesai
130,523,175,10,8,233096,Transfer Bank,2023-06-27 05:10:24,Diproses
131,198,176,17,9,333324,Debit,2023-01-25 12:18:00,Batal
132,874,14,30,9,278082,Kartu Kredit,2023-02-06 17:34:56,Selesai
133,1997,235,10,2,24176,Tunai,2023-08-02 18:42:12,Diproses
134,606,65,10,6,480348,Debit,2023-06-25 18:12:35,Batal
135,1134,43,7,9,785457,Kartu Kredit,2023-06-04 09:30:36,Diproses
136,400,73,21,4,89816,Tunai,2023-03-19 03:48:17,Diproses
137,1525,182,44,9,314865,Transfer Bank,2023-10-30 21:32:46,Selesai
138,1153,272,25,9,197748,Tunai,2023-11-07 18:57:49,Diproses
139,743,277,43,4,254216,Transfer Bank,2023-03-06 18:15:17,Batal
140,326,52,43,3,64755,Transfer Bank,2023-03-29 20:52:21,Diproses
141,312,277,43,10,635540,E-Wallet,2023-11-30 07:53:27,Selesai
142,571,26,23,7,302799,Debit,2023-06-01 08:56:31,Diproses
143,1991,216,4,8,182304,E-Wallet,2023-05-06 00:31:25,Selesai
144,1478,154,31,1,26538,Tunai,2023-04-08 14:33:29,Diproses
145,1139,160,13,4,68028,Transfer Bank,2023-08-19 16:20:26,Selesai
146,122,211,16,3,16185,Kartu Kredit,2023-07-06 18:36:44,Selesai
147,1566,125,20,7,454069,Kartu Kredit,2023-09-08 21:56:42,Batal
148,801,100,34,4,95784,Debit,2023-01-28 09:24:09,Selesai
149,1973,142,23,3,39078,E-Wallet,2023-02-17 22:50:13,Diproses
150,1515,300,2,3,255441,Kartu Kredit,2023-06-22 04:36:49,Selesai
151,1377,142,23,6,78156,Tunai,2023-09-05 07:00:06,Selesai
152,1067,160,13,9,153063,Tunai,2023-10-27 16:22:26,Diproses
153,1226,242,19,4,103232,E-Wallet,2023-04-27 01:13:29,Selesai
154,1109,233,45,3,78711,Tunai,2023-12-08 20:18:32,Diproses
155,700,140,31,1,37482,E-Wallet,2023-11-22 10:30:57,Batal
156,232,239,11,7,494599,Transfer Bank,2023-03-07 10:07:25,Diproses
157,1417,250,41,5,39395,Kartu Kredit,2023-07-23 01:12:56,Selesai
158,182,186,38,4,72448,E-Wallet,2023-11-21 22:41:39,Diproses
159,1973,222,27,7,153734,Tunai,2023-09-05 19:08:57,Selesai
160,1772,144,43,5,254670,Debit,2023-09-06 15:42:22,Diproses
161,674,215,3,5,82255,Debit,2023-02-02 06:29:10,Selesai
162,208,249,21,4,108808,Transfer Bank,2023-07-12 05:30:41,Selesai
163,1211,223,7,5,96880,Tunai,2023-10-31 06:43:11,Diproses
164,1000,288,31,10,219580,Transfer Bank,2023-05-26 22:55:05,Diproses
165,1063,196,30,1,13500,Transfer Bank,2023-02-11 20:44:49,Diproses
166,1717,51,28,10,427800,Tunai,2023-02-15 14:55:51,Selesai
167,739,298,3,10,308820,E-Wallet,2023-11-13 14:59:36,Batal
168,1472,21,43,6,170208,E-Wallet,2023-11-27 23:23:15,Batal
169,1175,268,42,1,20125,E-Wallet,2023-11-12 19:12:24,Diproses
170,1525,222,27,1,21962,Kartu Kredit,2023-08-09 04:10:14,Selesai
171,50,169,41,2,154418,Debit,2023-12-24 13:15:48,Batal
172,1643,15,36,8,216728,Debit,2023-05-20 06:17:27,Diproses
173,705,181,19,4,72936,Debit,2023-06-23 05:05:11,Selesai
174,665,235,10,5,60440,Kartu Kredit,2023-03-23 07:34:21,Diproses
175,1579,281,14,6,94560,E-Wallet,2023-10-20 13:26:36,Batal
176,1600,89,13,8,251752,Tunai,2023-05-10 14:53:56,Batal
177,1263,276,10,4,116768,Debit,2023-11-18 19:53:11,Batal
178,208,47,44,7,199367,Debit,2023-08-30 11:35:36,Batal
179,1310,96,8,7,288736,Kartu Kredit,2023-04-13 19:00:00,Diproses
180,995,180,16,6,116220,E-Wallet,2023-12-14 21:16:36,Batal
181,1546,82,40,3,274872,Debit,2023-01-07 04:27:12,Selesai
182,389,298,3,5,154410,Transfer Bank,2023-09-29 22:36:02,Diproses
183,1148,152,30,9,493686,Transfer Bank,2023-03-11 02:13:25,Batal
184,1267,39,43,4,98012,Tunai,2023-02-05 03:54:52,Diproses
185,1225,208,22,5,174775,Kartu Kredit,2023-10-06 00:33:38,Batal
186,1092,182,44,7,244895,Kartu Kredit,2023-12-24 18:44:59,Batal
187,213,151,36,10,302230,Transfer Bank,2023-02-01 22:16:03,Batal
188,461,227,36,1,46973,Kartu Kredit,2023-08-01 19:36:39,Selesai
189,1368,141,38,1,39072,E-Wallet,2023-03-29 04:11:56,Diproses
190,449,126,7,4,135272,E-Wallet,2023-09-09 14:49:10,Selesai
191,298,7,4,5,231180,Kartu Kredit,2023-01-09 01:37:38,Diproses
192,990,225,6,7,539091,Transfer Bank,2023-08-03 01:48:00,Diproses
193,394,212,4,3,77349,Transfer Bank,2023-08-14 14:20:22,Batal
194,1285,295,2,7,319767,Debit,2023-10-02 11:20:58,Batal
195,1646,135,45,7,122584,Debit,2023-05-22 13:31:17,Selesai
196,656,277,43,6,381324,Tunai,2023-09-27 05:05:00,Selesai
197,659,127,11,9,537111,Transfer Bank,2023-02-20 00:10:25,Selesai
198,1879,260,49,8,243472,Transfer Bank,2023-05-02 17:53:23,Selesai
199,1654,117,36,6,404448,Transfer Bank,2023-11-15 20:59:50,Selesai
200,953,138,44,10,999620,Tunai,2023-06-28 17:44:13,Diproses
201,897,255,5,10,577540,E-Wallet,2023-01-26 02:39:14,Selesai
202,46,287,19,8,464488,Transfer Bank,2023-09-10 13:01:34,Selesai
203,1835,178,38,8,245672,Kartu Kredit,2023-01-25 18:26:35,Diproses
204,726,34,50,5,45200,Transfer Bank,2023-04-08 20:55:21,Diproses
205,57,252,6,7,223286,Kartu Kredit,2023-06-03 21:16:50,Selesai
206,1356,232,15,5,324050,Transfer Bank,2023-09-28 18:25:50,Diproses
207,624,170,7,4,59964,Transfer Bank,2023-11-07 01:46:46,Diproses
208,1938,209,9,3,74889,Transfer Bank,2023-09-22 14:22:43,Diproses
209,645,4,35,10,172900,Tunai,2023-10-04 13:22:51,Batal
210,1204,62,2,2,197108,Transfer Bank,2023-01-25 17:03:46,Diproses
211,848,83,37,4,271388,Kartu Kredit,2023-08-22 14:37:25,Selesai
212,1712,93,38,1,19395,E-Wallet,2023-10-10 23:40:11,Selesai
213,680,46,5,2,42074,E-Wallet,2023-08-11 22:05:40,Diproses
214,1944,199,48,7,193340,E-Wallet,2023-09-28 11:03:31,Batal
215,284,176,17,3,111108,Tunai,2023-05-01 20:33:04,Batal
216,364,221,7,5,243530,E-Wallet,2023-02-05 05:42:24,Selesai
217,534,206,16,4,64700,Kartu Kredit,2023-05-17 09:25:39,Diproses
218,1297,42,27,6,53880,E-Wallet,2023-10-19 23:25:38,Selesai
219,1073,132,15,1,25666,Transfer Bank,2023-01-24 15:38:14,Diproses
220,122,192,1,2,101862,Kartu Kredit,2023-01-01 16:06:52,Diproses
221,26,3,33,6,130344,E-Wallet,2023-04-29 22:35:10,Selesai
222,1639,291,9,10,677060,Debit,2023-11-30 17:48:10,Selesai
223,1958,89,13,4,125876,Transfer Bank,2023-07-13 11:34:23,Selesai
224,1097,112,20,6,125154,Tunai,2023-12-05 16:32:02,Diproses
225,1870,80,28,10,449970,Debit,2023-08-11 21:55:41,Selesai
226,1826,226,9,3,188346,Transfer Bank,2023-02-27 19:22:48,Batal
227,63,20,16,9,591696,Tunai,2023-11-10 11:41:39,Batal
228,1915,150,39,2,75936,Debit,2023-09-23 06:19:12,Selesai
229,1209,266,40,3,71643,Tunai,2023-07-13 06:26:38,Selesai
230,1236,80,28,10,449970,Debit,2023-06-26 13:48:15,Diproses
231,1123,200,10,8,680256,Tunai,2023-09-17 16:46:59,Diproses
232,135,174,40,4,219160,Debit,2023-02-24 21:46:11,Selesai
233,1967,252,6,4,127592,E-Wallet,2023-01-17 03:39:01,Batal
234,121,246,32,10,216270,Tunai,2023-11-26 05:49:40,Diproses
235,187,165,27,9,470286,Transfer Bank,2023-08-12 08:11:50,Diproses
236,1090,268,42,7,140875,Transfer Bank,2023-09-07 19:02:40,Selesai
237,579,165,27,3,156762,E-Wallet,2023-10-24 12:32:47,Selesai
238,600,219,41,7,101661,E-Wallet,2023-05-27 10:31:07,Selesai
239,1005,13,25,8,143648,Tunai,2023-05-05 20:43:56,Diproses
240,992,200,10,5,425160,E-Wallet,2023-11-02 09:24:21,Batal
241,1579,29,9,9,810666,Tunai,2023-03-15 01:01:20,Selesai
242,629,293,11,9,334431,Kartu Kredit,2023-09-06 21:55:23,Batal
243,1514,25,7,9,499770,Tunai,2023-01-19 08:00:22,Batal
244,789,97,43,6,333216,Transfer Bank,2023-01-21 08:43:55,Diproses
245,1790,223,7,9,174384,Transfer Bank,2023-11-26 19:18:41,Selesai
246,1042,190,5,1,87413,Kartu Kredit,2023-02-08 07:29:29,Batal
247,1946,96,8,4,164992,Debit,2023-01-29 08:04:08,Diproses
248,417,254,48,4,159904,Transfer Bank,2023-09-06 17:09:27,Diproses
249,32,24,5,7,200445,Kartu Kredit,2023-12-16 15:35:49,Diproses
250,239,149,29,1,12598,Kartu Kredit,2023-09-14 03:51:48,Batal
251,363,200,10,4,340128,Debit,2023-12-23 08:29:59,Batal
252,92,80,28,3,134991,Transfer Bank,2023-04-06 14:30:00,Diproses
253,1370,133,4,7,139132,Transfer Bank,2023-10-03 19:17:12,Diproses
254,635,105,22,5,94475,E-Wallet,2023-09-26 01:53:15,Selesai
255,852,212,4,7,180481,Debit,2023-11-24 05:55:13,Selesai
256,1673,250,41,5,39395,Transfer Bank,2023-01-05 01:12:42,Diproses
257,1419,203,44,1,6514,E-Wallet,2023-02-20 01:19:31,Diproses
258,1413,115,19,2,18972,Tunai,2023-02-14 18:28:21,Selesai
259,1848,251,21,2,69922,Kartu Kredit,2023-07-28 12:38:26,Batal
260,343,132,15,7,179662,Debit,2023-07-28 06:18:22,Batal
261,584,292,36,5,178280,Tunai,2023-10-23 12:56:03,Selesai
262,809,104,12,2,83868,Transfer Bank,2023-11-25 17:31:33,Batal
263,412,66,12,9,103563,Tunai,2023-07-02 02:59:45,Batal
264,224,58,14,4,135248,Tunai,2023-11-20 13:00:20,Batal
265,378,43,7,2,174546,Kartu Kredit,2023-06-19 07:20:08,Diproses
266,760,225,6,3,231039,E-Wallet,2023-08-20 20:27:25,Selesai
267,1358,258,12,4,313676,Kartu Kredit,2023-10-09 12:39:08,Batal
268,90,292,36,1,35656,Kartu Kredit,2023-05-13 13:35:21,Batal
269,1888,90,43,6,311118,E-Wallet,2023-03-19 22:11:13,Diproses
270,116,201,27,7,504875,Kartu Kredit,2023-04-24 07:49:31,Diproses
271,131,116,46,3,104064,Kartu Kredit,2023-05-11 10:42:32,Diproses
272,1477,225,6,1,77013,E-Wallet,2023-01-27 22:41:43,Selesai
273,1233,271,29,5,213755,Transfer Bank,2023-03-04 13:32:31,Selesai
274,1121,163,9,1,26743,Tunai,2023-09-23 22:27:07,Selesai
275,840,266,40,9,214929,Tunai,2023-08-29 05:38:29,Diproses
276,348,165,27,6,313524,Tunai,2023-02-25 17:23:27,Selesai
277,1402,120,17,1,83990,E-Wallet,2023-01-02 07:53:08,Diproses
278,120,199,48,10,276200,Tunai,2023-11-29 19:50:49,Selesai
279,1561,19,39,10,463400,Transfer Bank,2023-01-29 17:01:18,Selesai
280,1329,244,1,10,286330,E-Wallet,2023-04-20 16:47:48,Diproses
281,1262,199,48,8,220960,Kartu Kredit,2023-09-23 04:54:49,Batal
282,1255,129,19,6,215574,E-Wallet,2023-07-06 01:48:24,Selesai
283,931,275,39,6,42228,Kartu Kredit,2023-02-26 01:58:28,Batal
284,1305,90,43,7,362971,Debit,2023-12-09 12:15:11,Selesai
285,754,11,1,7,174776,Debit,2023-02-25 22:01:33,Selesai
286,942,211,16,9,48555,Kartu Kredit,2023-06-06 05:03:51,Selesai
287,1721,181,19,4,72936,E-Wallet,2023-06-13 13:18:55,Batal
288,944,232,15,8,518480,E-Wallet,2023-06-30 00:17:34,Batal
289,692,167,44,7,270368,Kartu Kredit,2023-10-08 21:42:59,Diproses
290,422,126,7,4,135272,Kartu Kredit,2023-08-09 17:44:49,Selesai
291,1942,187,21,8,224576,Transfer Bank,2023-12-01 22:30:40,Batal
292,768,158,38,4,200756,E-Wallet,2023-02-24 21:18:17,Batal
293,223,278,20,8,234440,Debit,2023-12-18 08:11:31,Diproses
294,845,27,29,4,81168,Kartu Kredit,2023-05-12 03:26:06,Diproses
295,1823,81,44,7,599522,Transfer Bank,2023-06-17 16:31:00,Selesai
296,1932,227,36,1,46973,Kartu Kredit,2023-05-30 21:30:26,Diproses
297,1367,89,13,5,157345,Transfer Bank,2023-10-26 17:50:12,Selesai
298,1314,206,16,10,161750,Kartu Kredit,2023-02-28 12:28:11,Batal
299,649,240,29,4,112848,Kartu Kredit,2023-10-24 04:08:09,Batal
300,648,272,25,1,21972,Tunai,2023-11-02 15:01:11,Selesai
301,176,11,1,1,24968,Tunai,2023-05-09 17:53:03,Selesai
302,642,183,50,4,41900,Kartu Kredit,2023-03-24 17:24:51,Batal
303,1722,34,50,6,54240,Transfer Bank,2023-12-20 02:46:59,Batal
304,1195,229,20,8,496104,Debit,2023-10-01 06:03:26,Selesai
305,594,156,50,2,56712,Transfer Bank,2023-03-04 01:33:34,Selesai
306,335,213,5,2,66682,Transfer Bank,2023-12-20 11:58:20,Diproses
307,840,82,40,9,824616,Transfer Bank,2023-09-02 03:44:43,Batal
308,1434,144,43,4,203736,Tunai,2023-09-15 19:42:30,Selesai
309,1863,228,49,2,194312,Tunai,2023-02-22 15:52:18,Batal
310,969,195,21,8,546312,Kartu Kredit,2023-10-25 22:14:43,Selesai
311,1201,186,38,8,144896,Transfer Bank,2023-08-11 02:35:23,Selesai
312,917,11,1,8,199744,Transfer Bank,2023-05-14 12:43:00,Batal
313,175,190,5,2,174826,Kartu Kredit,2023-02-22 09:45:49,Diproses
314,615,202,29,3,260973,Tunai,2023-12-30 03:06:02,Diproses
315,404,165,27,5,261270,Tunai,2023-05-18 18:09:14,Diproses
316,1638,254,48,1,39976,Transfer Bank,2023-12-13 01:09:59,Diproses
317,856,87,2,6,599952,Debit,2023-03-16 13:47:07,Diproses
318,574,267,48,1,37271,E-Wallet,2023-05-04 17:15:53,Selesai
319,107,123,27,5,399060,Debit,2023-06-24 08:20:26,Batal
320,692,21,43,5,141840,E-Wallet,2023-09-14 02:09:05,Selesai
321,682,283,33,1,69574,Kartu Kredit,2023-12-05 16:00:07,Diproses
322,22,294,28,1,83503,Debit,2023-05-28 20:06:43,Selesai
323,1853,241,18,7,287462,E-Wallet,2023-01-14 23:23:14,Diproses
324,1377,139,18,7,550760,Debit,2023-05-23 10:46:00,Diproses
325,1749,218,39,7,149499,Debit,2023-02-21 09:29:57,Batal
326,1473,134,19,9,469647,Kartu Kredit,2023-07-09 20:13:47,Batal
327,547,43,7,8,698184,Tunai,2023-11-09 19:34:21,Diproses
328,1871,164,7,9,94140,Tunai,2023-01-09 22:26:42,Selesai
329,1652,55,25,4,60608,Tunai,2023-03-10 18:45:32,Batal
330,134,79,35,10,539410,Kartu Kredit,2023-10-30 11:39:24,Selesai
331,1769,39,43,1,24503,Tunai,2023-10-14 00:42:37,Batal
332,1783,37,36,3,41469,Transfer Bank,2023-09-01 03:55:14,Batal
333,1293,170,7,2,29982,Transfer Bank,2023-02-17 08:55:15,Selesai
334,1443,72,29,4,43448,Tunai,2023-03-14 01:40:57,Selesai
335,1471,47,44,1,28481,E-Wallet,2023-11-04 10:10:44,Diproses
336,478,108,29,1,36481,Tunai,2023-05-31 06:10:41,Batal
337,1281,272,25,4,87888,E-Wallet,2023-11-14 12:07:37,Selesai
338,1451,254,48,10,399760,Kartu Kredit,2023-07-02 05:21:30,Batal
339,1499,32,33,8,221064,Kartu Kredit,2023-07-17 03:01:46,Selesai
340,163,91,50,4,258120,Debit,2023-02-25 21:10:40,Diproses
341,1179,97,43,2,111072,Tunai,2023-03-15 02:08:14,Selesai
342,1738,165,27,4,209016,Kartu Kredit,2023-06-03 06:34:19,Diproses
343,1713,152,30,10,548540,E-Wallet,2023-07-16 18:21:42,Diproses
344,585,112,20,7,146013,Debit,2023-11-17 04:36:14,Batal
345,1507,124,29,9,238536,Tunai,2023-09-12 07:34:16,Diproses
346,516,145,17,3,291951,Tunai,2023-01-24 22:20:09,Selesai
347,1012,177,35,1,49756,Transfer Bank,2023-10-21 11:10:10,Batal
348,164,229,20,1,62013,Tunai,2023-05-04 15:41:05,Diproses
349,1580,186,38,10,181120,Tunai,2023-08-10 01:20:20,Batal
350,1490,164,7,8,83680,Debit,2023-10-16 05:44:12,Batal
351,759,256,50,5,115920,E-Wallet,2023-05-02 17:47:44,Diproses
352,1526,98,1,4,52664,Transfer Bank,2023-03-08 05:40:07,Selesai
353,1415,181,19,7,127638,E-Wallet,2023-12-08 17:57:29,Batal
354,665,207,36,8,665400,E-Wallet,2023-06-25 14:35:22,Selesai
355,291,198,35,7,165263,Tunai,2023-12-06 04:19:17,Selesai
356,1615,163,9,7,187201,Kartu Kredit,2023-06-05 02:50:52,Batal
357,29,223,7,3,58128,Kartu Kredit,2023-08-19 06:34:29,Selesai
358,445,49,28,1,15910,E-Wallet,2023-07-03 10:02:43,Selesai
359,555,173,27,4,101196,Tunai,2023-07-13 03:22:51,Batal
360,325,156,50,9,255204,Debit,2023-03-30 10:41:02,Selesai
361,997,256,50,7,162288,E-Wallet,2023-11-27 17:27:36,Selesai
362,999,31,46,6,431250,Tunai,2023-01-26 23:36:35,Batal
363,1446,245,9,10,132030,Debit,2023-02-24 22:40:07,Selesai
364,1063,254,48,4,159904,E-Wallet,2023-07-10 11:51:19,Selesai
365,1960,158,38,3,150567,Debit,2023-09-02 20:18:14,Batal
366,1401,220,34,10,251670,Tunai,2023-08-21 16:09:51,Selesai
